"date","smoothed_capacity"
2017-01-05,4827.56712328767
2017-01-06,4828.69315068493
2017-01-07,4829.81917808219
2017-01-08,4830.94520547945
2017-01-09,4832.07123287671
2017-01-10,4833.19726027397
2017-01-11,4834.32328767123
2017-01-12,4835.44931506849
2017-01-13,4836.57534246575
2017-01-14,4837.70136986301
2017-01-15,4838.82739726027
2017-01-16,4839.95342465753
2017-01-17,4841.07945205479
2017-01-18,4842.20547945205
2017-01-19,4843.33150684931
2017-01-20,4844.45753424658
2017-01-21,4845.58356164384
2017-01-22,4846.7095890411
2017-01-23,4847.83561643836
2017-01-24,4848.96164383562
2017-01-25,4850.08767123288
2017-01-26,4851.21369863014
2017-01-27,4852.3397260274
2017-01-28,4853.46575342466
2017-01-29,4854.59178082192
2017-01-30,4855.71780821918
2017-01-31,4856.84383561644
2017-02-01,4857.9698630137
2017-02-02,4859.09589041096
2017-02-03,4860.22191780822
2017-02-04,4861.34794520548
2017-02-05,4862.47397260274
2017-02-06,4863.6
2017-02-07,4864.72602739726
2017-02-08,4865.85205479452
2017-02-09,4866.97808219178
2017-02-10,4868.10410958904
2017-02-11,4869.2301369863
2017-02-12,4870.35616438356
2017-02-13,4871.48219178082
2017-02-14,4872.60821917808
2017-02-15,4873.73424657534
2017-02-16,4874.8602739726
2017-02-17,4875.98630136986
2017-02-18,4877.11232876712
2017-02-19,4878.23835616438
2017-02-20,4879.36438356164
2017-02-21,4880.4904109589
2017-02-22,4881.61643835616
2017-02-23,4882.74246575342
2017-02-24,4883.86849315069
2017-02-25,4884.99452054795
2017-02-26,4886.12054794521
2017-02-27,4887.24657534247
2017-02-28,4888.37260273973
2017-03-01,4889.49863013699
2017-03-02,4890.62465753425
2017-03-03,4891.75068493151
2017-03-04,4892.87671232877
2017-03-05,4894.00273972603
2017-03-06,4895.12876712329
2017-03-07,4896.25479452055
2017-03-08,4897.38082191781
2017-03-09,4898.50684931507
2017-03-10,4899.63287671233
2017-03-11,4900.75890410959
2017-03-12,4901.88493150685
2017-03-13,4903.01095890411
2017-03-14,4904.13698630137
2017-03-15,4905.26301369863
2017-03-16,4906.38904109589
2017-03-17,4907.51506849315
2017-03-18,4908.64109589041
2017-03-19,4909.76712328767
2017-03-20,4910.89315068493
2017-03-21,4912.01917808219
2017-03-22,4913.14520547945
2017-03-23,4914.27123287671
2017-03-24,4915.39726027397
2017-03-25,4916.52328767123
2017-03-26,4917.64931506849
2017-03-27,4918.77534246575
2017-03-28,4919.90136986301
2017-03-29,4921.02739726027
2017-03-30,4922.15342465753
2017-03-31,4923.27945205479
2017-04-01,4924.40547945205
2017-04-02,4925.53150684932
2017-04-03,4926.65753424658
2017-04-04,4927.78356164384
2017-04-05,4928.9095890411
2017-04-06,4930.03561643836
2017-04-07,4931.16164383562
2017-04-08,4932.28767123288
2017-04-09,4933.41369863014
2017-04-10,4934.5397260274
2017-04-11,4935.66575342466
2017-04-12,4936.79178082192
2017-04-13,4937.91780821918
2017-04-14,4939.04383561644
2017-04-15,4940.1698630137
2017-04-16,4941.29589041096
2017-04-17,4942.42191780822
2017-04-18,4943.54794520548
2017-04-19,4944.67397260274
2017-04-20,4945.8
2017-04-21,4946.92602739726
2017-04-22,4948.05205479452
2017-04-23,4949.17808219178
2017-04-24,4950.30410958904
2017-04-25,4951.4301369863
2017-04-26,4952.55616438356
2017-04-27,4953.68219178082
2017-04-28,4954.80821917808
2017-04-29,4955.93424657534
2017-04-30,4957.0602739726
2017-05-01,4958.18630136986
2017-05-02,4959.31232876712
2017-05-03,4960.43835616438
2017-05-04,4961.56438356164
2017-05-05,4962.6904109589
2017-05-06,4963.81643835616
2017-05-07,4964.94246575342
2017-05-08,4966.06849315068
2017-05-09,4967.19452054795
2017-05-10,4968.32054794521
2017-05-11,4969.44657534247
2017-05-12,4970.57260273973
2017-05-13,4971.69863013699
2017-05-14,4972.82465753425
2017-05-15,4973.95068493151
2017-05-16,4975.07671232877
2017-05-17,4976.20273972603
2017-05-18,4977.32876712329
2017-05-19,4978.45479452055
2017-05-20,4979.58082191781
2017-05-21,4980.70684931507
2017-05-22,4981.83287671233
2017-05-23,4982.95890410959
2017-05-24,4984.08493150685
2017-05-25,4985.21095890411
2017-05-26,4986.33698630137
2017-05-27,4987.46301369863
2017-05-28,4988.58904109589
2017-05-29,4989.71506849315
2017-05-30,4990.84109589041
2017-05-31,4991.96712328767
2017-06-01,4993.09315068493
2017-06-02,4994.21917808219
2017-06-03,4995.34520547945
2017-06-04,4996.47123287671
2017-06-05,4997.59726027397
2017-06-06,4998.72328767123
2017-06-07,4999.84931506849
2017-06-08,5000.97534246575
2017-06-09,5002.10136986301
2017-06-10,5003.22739726027
2017-06-11,5004.35342465753
2017-06-12,5005.47945205479
2017-06-13,5006.60547945206
2017-06-14,5007.73150684932
2017-06-15,5008.85753424658
2017-06-16,5009.98356164384
2017-06-17,5011.1095890411
2017-06-18,5012.23561643836
2017-06-19,5013.36164383562
2017-06-20,5014.48767123288
2017-06-21,5015.61369863014
2017-06-22,5016.7397260274
2017-06-23,5017.86575342466
2017-06-24,5018.99178082192
2017-06-25,5020.11780821918
2017-06-26,5021.24383561644
2017-06-27,5022.3698630137
2017-06-28,5023.49589041096
2017-06-29,5024.62191780822
2017-06-30,5025.74794520548
2017-07-01,5026.87397260274
2017-07-02,5028
2017-07-03,5028.12328767123
2017-07-04,5028.24657534247
2017-07-05,5028.3698630137
2017-07-06,5028.49315068493
2017-07-07,5028.61643835616
2017-07-08,5028.7397260274
2017-07-09,5028.86301369863
2017-07-10,5028.98630136986
2017-07-11,5029.1095890411
2017-07-12,5029.23287671233
2017-07-13,5029.35616438356
2017-07-14,5029.47945205479
2017-07-15,5029.60273972603
2017-07-16,5029.72602739726
2017-07-17,5029.84931506849
2017-07-18,5029.97260273973
2017-07-19,5030.09589041096
2017-07-20,5030.21917808219
2017-07-21,5030.34246575342
2017-07-22,5030.46575342466
2017-07-23,5030.58904109589
2017-07-24,5030.71232876712
2017-07-25,5030.83561643836
2017-07-26,5030.95890410959
2017-07-27,5031.08219178082
2017-07-28,5031.20547945205
2017-07-29,5031.32876712329
2017-07-30,5031.45205479452
2017-07-31,5031.57534246575
2017-08-01,5031.69863013699
2017-08-02,5031.82191780822
2017-08-03,5031.94520547945
2017-08-04,5032.06849315068
2017-08-05,5032.19178082192
2017-08-06,5032.31506849315
2017-08-07,5032.43835616438
2017-08-08,5032.56164383562
2017-08-09,5032.68493150685
2017-08-10,5032.80821917808
2017-08-11,5032.93150684932
2017-08-12,5033.05479452055
2017-08-13,5033.17808219178
2017-08-14,5033.30136986301
2017-08-15,5033.42465753425
2017-08-16,5033.54794520548
2017-08-17,5033.67123287671
2017-08-18,5033.79452054795
2017-08-19,5033.91780821918
2017-08-20,5034.04109589041
2017-08-21,5034.16438356164
2017-08-22,5034.28767123288
2017-08-23,5034.41095890411
2017-08-24,5034.53424657534
2017-08-25,5034.65753424658
2017-08-26,5034.78082191781
2017-08-27,5034.90410958904
2017-08-28,5035.02739726027
2017-08-29,5035.15068493151
2017-08-30,5035.27397260274
2017-08-31,5035.39726027397
2017-09-01,5035.52054794521
2017-09-02,5035.64383561644
2017-09-03,5035.76712328767
2017-09-04,5035.8904109589
2017-09-05,5036.01369863014
2017-09-06,5036.13698630137
2017-09-07,5036.2602739726
2017-09-08,5036.38356164384
2017-09-09,5036.50684931507
2017-09-10,5036.6301369863
2017-09-11,5036.75342465753
2017-09-12,5036.87671232877
2017-09-13,5037
2017-09-14,5037.12328767123
2017-09-15,5037.24657534247
2017-09-16,5037.3698630137
2017-09-17,5037.49315068493
2017-09-18,5037.61643835616
